# staircaseramp pharma apab apabv3 ap05hz ap1hz ap2hz sactiv sinactiv
6.307585160268822100e-02 2.711174243700338327e-01 1.061166813938161368e+00 8.461863052409769326e-01 7.193732690206540159e-01 7.007700342423984763e-01 5.666918952385281427e-01 4.827261101556357126e-02 4.757959496397620724e-01
6.419906825570405318e-02 5.830202277826235929e-02 1.013565415530329528e+00 5.291857977007490277e-01 5.973699377186740822e-01 7.941820050549245336e-01 6.438997794507871353e-01 1.489457779405493343e-01 4.797196512484729891e-01
6.633367379894848648e-02 3.147141427050597073e-01 1.286350837880789966e+00 1.054073391436099794e+00 1.030896063129502993e+00 1.005912442984749688e+00 8.225491704275418314e-01 2.032153487217270432e-02 5.239250333420641947e-01
6.720894866896080788e-02 6.482558476840665218e-01 1.209330415937081238e+00 6.589831708335260885e-01 7.486914696614014320e-01 8.714090266133339702e-01 6.462526255491531924e-01 3.384570742421360440e-02 5.367632000873387987e-01
7.020490033006152042e-02 4.894658752943343849e-01 1.052810503041580859e+00 1.190643434780935594e+00 8.978338767313407409e-01 8.084411272517931790e-01 8.908614063245052783e-01 2.175417756737874422e-02 5.170569413584046314e-01
7.333439672151345623e-02 1.750542516385616143e-01 5.925766783734042198e-01 5.448862661772234661e-01 5.889984155891969664e-01 7.130747929404113172e-01 6.204550682689977670e-01 3.399931671398285365e-02 4.075982361774316276e-01
7.786284555929751106e-02 2.488611433904585335e-01 1.143452499581917747e+00 7.893657824021003133e-01 9.381777939300002256e-01 8.833944091008992805e-01 8.240830042645873599e-01 2.864510443361044725e-02 4.311620716628931649e-01
7.933703889804935572e-02 6.898095093874719863e-01 1.018203981497667332e+00 7.696372908919676403e-01 8.322244668071828722e-01 1.143701964437457308e+00 8.814172627435872265e-01 6.219157333037499819e-02 4.754086522337694354e-01
8.027168795992362105e-02 4.262048370418902166e-01 1.310864390703866400e+00 9.048658566634931733e-01 1.220051285123449514e+00 1.309735759345497907e+00 8.167124384018522587e-01 6.437692640037355474e-02 4.587998408049142052e-01
8.119444089323023250e-02 1.138933473347147896e-01 9.694438591986030973e-01 5.375321760748589250e-01 7.124050659632915616e-01 6.076135094531899261e-01 5.387442615180111360e-01 3.751677885991700628e-02 3.669405865360600427e-01
8.271690948553192535e-02 1.469100813127949545e-01 9.780190589368800147e-01 7.895415547402044876e-01 7.034431196237802553e-01 7.812772361881521466e-01 6.169572518783017490e-01 9.926797907971575408e-02 3.849095394815432725e-01
8.344458542329495632e-02 2.742397958723797879e-01 1.250562715727689289e+00 8.060257524696544662e-01 9.909376159653063842e-01 1.208198857914781099e+00 8.934431748799378514e-01 5.071106822317902885e-02 4.297449181415100017e-01
8.370702768162670282e-02 3.364659795567980227e-01 1.024862328029673142e+00 8.973695022332740523e-01 1.036134919050237357e+00 1.006441970310428591e+00 6.882899149972496744e-01 3.269550045247827941e-02 5.220634994170542109e-01
8.600064493012637978e-02 1.179657690330340736e-01 8.673357168656152805e-01 4.676085240582673608e-01 7.537324163050090897e-01 6.529753195128440435e-01 5.984139740049815304e-01 9.510895388668251516e-02 3.301113178045341767e-01
8.697965268182580867e-02 2.481677322315534728e-01 9.347185754835408700e-01 7.958754131918311936e-01 8.032116826321973324e-01 9.777251954804028200e-01 7.633433150908258691e-01 2.551844824372500112e-02 4.637035869759226214e-01
8.832991909795022412e-02 1.025542548593008779e-01 9.185390790341616540e-01 3.811022696639734253e-01 8.378110177586464147e-01 6.615649236664681299e-01 4.649772860362160753e-01 5.921470618099997085e-02 3.833982714932470670e-01
8.842556045991932512e-02 1.592980409471286274e-01 1.097739223354219140e+00 1.151394005001040499e+00 9.166305777345605810e-01 1.027383341728163924e+00 6.858767325729534514e-01 5.382627394427424994e-02 4.358612558718197305e-01
9.056022256720594465e-02 4.689196212039907219e-01 1.389037467917067392e+00 1.173268020889782992e+00 1.248164566907676187e+00 1.369128912343663185e+00 8.670441287699158783e-01 4.153392626284004019e-02 5.158468085203679054e-01
9.057834470186597320e-02 4.234937020149024955e-01 1.421013580587237035e+00 1.288598221673660893e+00 1.196370330589145103e+00 9.880849078925051376e-01 8.260561405996268425e-01 2.869049706308442887e-02 5.063535371689931175e-01
9.082528985508571406e-02 5.222236914785047812e-01 1.523037919012410146e+00 1.385743497948800140e+00 9.381533070069352220e-01 1.031592703092867325e+00 8.798252788281469838e-01 2.977391039058736866e-02 4.533577315220185255e-01
9.105914242378812529e-02 3.071632485502929222e-01 1.102976816060997400e+00 6.283729684692153095e-01 8.447118129995047076e-01 9.938393864044093862e-01 7.417792131929393795e-01 2.870485466415633596e-02 4.386066535328806970e-01
9.140476439958193644e-02 9.455708082317022811e-02 5.632580996390014194e-01 3.476736437679118774e-01 5.342079513712192362e-01 4.931961818073452020e-01 4.997693491162212287e-01 6.227032822291189013e-02 2.740083876381671502e-01
9.207369574320781180e-02 1.615480520078876603e-01 1.067497278686495576e+00 6.319438441432525533e-01 7.710568865788721693e-01 7.181375772362359466e-01 4.420874553733374901e-01 5.214371105365982195e-02 3.402851189879275706e-01
9.213621601344097745e-02 1.716895424717252705e-01 9.601005270737598130e-01 6.927012657800289963e-01 5.870965376666765767e-01 8.676823676439869848e-01 7.057095399326105412e-01 9.496676370490240993e-02 4.270571588594146428e-01
