# staircaseramp pharma apab apabv3 ap05hz ap1hz ap2hz sactiv sinactiv
8.940235882744085316e-02 1.716804717917493894e-01 7.307689688054683774e-01 3.194023461135243047e-01 4.340388100741307542e-01 5.958666899725312271e-01 6.293064722092680530e-01 1.594181200044592073e-01 3.211554869458283501e-01
9.511120472129248882e-02 1.127800511366815750e-01 8.679777269551247620e-01 5.513972214969136143e-01 7.295541543311476751e-01 7.010741875490968944e-01 7.462456748583684574e-01 5.763277182721513597e-02 3.203261812628375171e-01
9.689051779602352032e-02 1.858691292890524982e-01 7.719402195858858784e-01 5.454664551245199666e-01 7.147070597087991084e-01 6.964934342455015859e-01 6.455199997887304253e-01 5.644153372241482447e-02 3.621054487027570157e-01
9.829725214111552367e-02 1.194589066247884329e-01 8.249303270432973845e-01 4.403377199564117994e-01 8.988585069471389799e-01 7.297199866736336915e-01 5.843824174106779790e-01 5.926664490085040149e-02 3.702510744950794352e-01
9.955770506469570347e-02 3.683345781093692595e-01 1.423726745969125629e+00 1.406935113798936099e+00 1.112718710872691252e+00 1.315743079855399733e+00 9.460496664296400571e-01 5.721945746055887710e-02 4.272783747647752595e-01
1.000873376323742348e-01 9.299873910009977263e-02 8.722075740791656040e-01 4.571626978518960049e-01 6.666956359931855980e-01 7.197671254772921579e-01 5.697300645856701040e-01 8.647614087766920810e-02 2.923938314723849574e-01
1.003584960510837676e-01 2.292382272775688734e-01 1.034762029514896486e+00 7.633531888256016584e-01 7.588879242483141940e-01 7.209556145822290096e-01 7.094630661846470510e-01 4.815133673366582545e-02 3.345009328961142669e-01
1.020336734928353473e-01 1.159078725122552056e-01 9.878435115478265693e-01 4.099331044852318473e-01 8.228913587010863173e-01 6.885777303104901881e-01 5.781677190632951158e-01 5.692177701127378725e-02 3.698770431577993456e-01
1.053709500452792019e-01 1.644562024543316237e-01 7.442219917122845363e-01 3.742069492708488543e-01 6.339064396690780034e-01 4.650388958647018733e-01 3.670259952971738904e-01 7.293891717395530050e-02 4.097444923140892703e-01
1.058341041022953233e-01 1.903555365127368892e+00 1.806164760411724135e+00 1.549803654308421708e+00 1.159047211463402283e+00 1.733750217026317486e+00 1.700409980985588598e+00 1.629718348396404504e-01 4.752066797833752188e-01
1.067632181542018388e-01 5.918798705126073756e-01 1.276647250015596757e+00 1.178184283608187277e+00 1.174427635358395561e+00 1.344756248531628229e+00 1.275646014736839140e+00 8.862958062844411566e-02 4.501546075342290898e-01
1.075662111332573306e-01 1.049781085327053498e+00 2.024856250856727602e+00 1.834524115651410714e+00 1.493894455429593204e+00 1.434112377185231102e+00 1.442290492175045014e+00 1.476339083615396675e-01 4.706295647329297727e-01
1.075665053013280248e-01 1.171591728134980109e-01 8.274876011953752331e-01 4.661769471355645122e-01 7.512853010728935965e-01 6.780510064332283537e-01 6.123172236445418859e-01 9.506842678358382037e-02 4.459055350533300821e-01
1.076539619092429650e-01 2.433499193513229963e-01 1.102836286408291233e+00 8.950453328084122528e-01 7.254738692084493623e-01 6.724688409771668596e-01 6.108517513965374679e-01 8.222729227271313723e-02 3.296318734818252660e-01
1.102537639681135662e-01 6.385107438468361485e-01 1.667046834188292692e+00 1.370120054383166419e+00 1.434401580425766154e+00 1.574984154392153890e+00 1.042769238094102269e+00 9.410199662676967114e-02 4.749531510250989963e-01
1.105928728547541928e-01 4.094426001139794269e-01 1.285200474157926598e+00 1.510198467849579229e+00 1.194351941307096210e+00 8.980572058333470276e-01 9.810154242059992979e-01 3.756880845861965829e-02 2.172823038419142705e-01
1.106344896977852349e-01 1.265030441423281304e-01 8.406081487195556923e-01 3.688122282355384418e-01 6.406629915107746598e-01 6.353167424063053126e-01 4.305990691827940031e-01 4.124265494445197855e-02 4.336482508441496520e-01
1.114860503671662451e-01 7.469144417912538803e-01 1.082142550523081281e+00 7.914539036427310492e-01 8.448788744266273465e-01 1.128000373865872374e+00 9.931605683969990661e-01 9.642537677407922447e-02 3.707103130784888956e-01
1.142080863984833300e-01 2.482310463029023528e-01 1.037048877204372666e+00 5.514745752616349028e-01 9.860208512403422221e-01 9.087772450859233908e-01 8.465135550445707091e-01 5.166106917314234465e-02 3.143371014879121073e-01
1.154905700841064448e-01 1.925292837832469073e-01 9.348815657061418927e-01 6.451988899919214315e-01 9.020364834974011758e-01 8.371456193029430670e-01 6.194510678243762003e-01 8.758603295836826785e-02 3.762479477405327732e-01
1.155748821276777333e-01 1.515805103810526078e-01 5.152769106453652936e-01 4.089986136806905148e-01 5.983606400365893974e-01 4.757032952469268383e-01 4.129735145738783197e-01 1.512689979491876613e-01 2.757425925611093342e-01
1.164619984322385893e-01 2.123948333559435298e-01 6.717660668606083574e-01 4.335059058843550028e-01 7.382117798968590439e-01 4.590827391012514136e-01 3.256153721476429119e-01 1.401234640485667093e-01 3.720705989179215467e-01
1.165105747992239010e-01 2.097895601243567609e-01 1.339483393375340281e+00 8.489655975918867226e-01 8.394405663696448139e-01 9.259184442063381759e-01 6.810714501820124278e-01 6.991946113743024993e-02 4.475714861030513636e-01
1.166919028560496757e-01 1.535024908163783453e-01 9.377602263487536671e-01 5.172738295019551069e-01 8.079035499474233051e-01 5.893769105359780713e-01 4.096093406959780414e-01 7.373993276800644425e-02 4.220805056988000126e-01
1.171703111557713534e-01 2.941276947609501313e-01 3.663563168321746777e-01 2.722081353714483898e-01 5.398386590975466914e-01 3.883682705804214486e-01 3.256640601486544551e-01 1.456492067627758458e-01 3.298856906968297142e-01
1.175703597547002877e-01 2.264553437525130553e-01 3.612861892788264973e-01 2.382521000200602534e-01 5.831365540472640552e-01 3.893736549873778041e-01 2.964025438863631123e-01 1.446490491398400302e-01 3.435079620600148820e-01
1.178621996436529096e-01 3.518535941977535275e-01 1.292387692351969264e+00 9.768667294077528762e-01 1.092419339258259514e+00 8.277543070262537439e-01 1.207980780864434944e+00 6.405132503588258086e-02 2.784401186114259796e-01
1.180822565701245136e-01 2.702821298826232899e-01 3.494246994373728099e-01 2.677705438844588115e-01 4.339724761999939062e-01 3.907972190786408451e-01 3.876191172749843261e-01 2.160866001652059776e-01 2.567922273930519084e-01
1.194396677117271210e-01 3.344487203172997747e-01 3.826546408689501799e-01 2.945039060622959837e-01 4.852129140808216778e-01 3.846872896662062447e-01 2.303966587021429313e-01 7.611820818923823451e-01 3.841378625718634976e-01
1.210246097101626978e-01 5.292789297485709366e-01 1.179654999429621487e+00 8.121253926834567372e-01 9.481832142635314709e-01 8.692017134456442307e-01 8.107724525506683211e-01 5.994449013473066717e-02 5.155530894042120726e-01
1.217293356448405361e-01 1.792298483228979278e-01 1.270172094714003164e+00 8.292141590232444681e-01 1.113027624091343482e+00 1.188832135464533035e+00 9.158644476679403956e-01 6.909438319219714242e-02 5.178438734055019754e-01
1.217532931081709152e-01 1.125703424295722288e-01 7.750548196336722873e-01 2.881417164318871293e-01 5.876182824555967743e-01 5.312117678276674360e-01 4.092306737056362054e-01 4.540382688238265435e-02 2.858122374532812704e-01
1.218552452758185217e-01 1.702066724298288702e-01 8.201219274589921504e-01 6.175275576411111134e-01 7.231603881695435332e-01 8.183369386983976312e-01 6.164800213876756585e-01 5.126113676627097604e-02 4.211010257468741358e-01
1.218674206258734544e-01 3.367086149517965477e-01 1.313683317281896690e+00 7.498934351896818784e-01 8.128261351781501665e-01 1.193186932775014641e+00 8.138220041044192943e-01 4.682947180247596514e-02 4.852527788483791960e-01
1.225483154548527437e-01 1.757929208136334298e-01 9.788896547157706074e-01 7.101979116358958510e-01 1.087734098713222242e+00 7.805920908484816900e-01 5.483886702778731914e-01 2.428689549789463942e-01 3.592470096257892043e-01
1.250678723521918001e-01 7.852025788011010032e-01 1.904047419055572954e+00 1.481077148944788702e+00 1.335634947757510904e+00 1.575614368372517005e+00 1.416771706857399060e+00 6.924425996887946522e-02 3.675128099592700481e-01
1.251455094734505724e-01 1.427229480847651000e-01 1.003702761149407596e+00 1.104975746958672289e+00 1.081065999297401214e+00 6.571311225765948949e-01 5.205359546953235439e-01 7.875132753685760989e-02 4.052146247083324715e-01
1.261368312614928877e-01 3.209617922987881844e-01 1.138096320320879817e+00 5.939314888466590281e-01 9.415475990967521192e-01 9.068473834922445853e-01 7.035620271631050082e-01 5.714972687375678012e-02 4.376813855978541890e-01
1.273340452681635260e-01 2.365243589128137036e-01 9.663037997552205161e-01 6.830923394941821325e-01 8.292172983412227083e-01 9.794076136402956045e-01 6.883029270672685884e-01 8.807553750650197466e-02 2.725576705017058732e-01
1.273599242253487529e-01 5.688838816776635721e-01 1.181083750433356006e+00 7.396086516623446849e-01 1.031119626261778555e+00 8.931329575104235419e-01 9.582725843762173179e-01 3.892116221660697761e-02 4.828593169366077742e-01
1.290008083082952450e-01 3.933205747533744523e-01 3.426749935771143396e-01 3.641112096572930446e-01 4.610066709607071878e-01 3.422681154788680402e-01 2.499486051881519011e-01 2.187621911275911546e-01 3.352856339434745481e-01
1.296404540892830415e-01 1.699236804257114042e-01 9.946270073730266725e-01 9.732267666360828740e-01 8.829653137768692650e-01 9.489281497272009647e-01 6.714766837824307499e-01 5.433479739415268683e-02 4.475094537071295786e-01
1.296517958376520729e-01 3.067810417940544099e-01 8.561697427208465605e-01 6.276536765357892955e-01 7.772725351399452087e-01 9.029122046467386031e-01 5.295559565299093885e-01 3.181770095575284230e-02 4.604529598901698773e-01
1.320335156823201073e-01 3.182757448373669806e-01 4.769381103998373561e-01 3.156975553188900441e-01 5.159442402091587443e-01 3.410846954359893490e-01 2.545690027132867517e-01 1.996706802540503256e-01 3.618583462015967922e-01
1.339042848442902611e-01 2.475734195957194350e-01 1.049648033217166931e+00 9.344389887036275155e-01 7.564301161725227596e-01 9.226353504105558878e-01 8.403832425582296040e-01 6.203279294630290042e-02 3.304991274188068262e-01
1.344467787919319812e-01 2.794724363042389581e-01 6.919141007869767934e-01 6.909537209802438795e-01 7.841353952199455746e-01 6.054318482904147425e-01 3.744898652424677454e-01 1.854226146060509450e-01 3.357769563356038933e-01
1.347753447351822398e-01 1.452662664736225351e-01 5.761072565913769594e-01 3.640745909853115858e-01 7.615227565791529152e-01 5.387889362560160933e-01 4.012666042489194118e-01 7.338100413544680622e-02 4.238457146922861019e-01
1.349229916994204859e-01 3.994730693685581979e-01 1.390299173697674417e+00 7.614720700597099601e-01 1.036301961356753010e+00 1.198699635907583882e+00 7.942737566686265405e-01 9.618147068145825596e-02 4.521148131747846355e-01
1.352876277810896033e-01 2.368300434966162382e-01 2.564072505852795225e-01 2.276817892206549898e-01 4.028329407834064235e-01 2.947193887695689352e-01 2.291309178118867418e-01 1.575084837140270089e-01 1.373067144353330160e-01
1.355914748850332030e-01 2.845652462096301960e-01 6.575867547557805448e-01 6.003085583931172531e-01 7.751642768474066303e-01 5.786269378319914836e-01 5.132603778634973191e-01 1.176027896068447681e-01 3.651699458467347892e-01
1.370073177746052029e-01 6.783339078068436612e-01 1.324294737523713739e+00 9.838046774420886598e-01 8.626982664506471776e-01 9.046285847130675073e-01 9.379068432391362009e-01 6.114304319087509459e-02 4.730786828449002335e-01
1.372137443729575523e-01 3.166324360612096100e-01 5.090234756709860475e-01 3.227545328102220390e-01 6.455837049992103616e-01 5.267460393427106924e-01 3.426629477932842116e-01 1.476071585467194081e-01 3.632202537554787281e-01
1.384394111051687748e-01 2.177253551995191050e-01 9.908853704103710580e-01 8.133220357313367677e-01 9.162072761371427010e-01 1.002193158898330605e+00 6.447395415182288758e-01 7.540935938404726147e-02 5.489002702847664006e-01
1.384656457573663069e-01 1.666340206619082998e-01 6.355741955221533290e-01 3.809922079765055147e-01 6.811953358155782290e-01 5.492191117404753298e-01 5.445551178682179749e-01 1.489676413346463779e-01 2.952656932803668366e-01
1.400893594321781788e-01 2.710969838739010207e-01 1.099097501034634661e+00 6.669576365258362838e-01 9.955465936876038979e-01 8.308409222270873862e-01 6.556010193908665684e-01 6.138385344747546157e-02 4.620294409486363496e-01
1.411770662030577550e-01 2.296732527750271480e-01 1.022809013010430368e+00 7.236678151458488806e-01 9.751251606567361563e-01 9.458720628138393982e-01 6.929206291384445437e-01 1.002044243383903160e-01 3.643575851285988376e-01
1.414946138612296622e-01 6.524503392825686809e-01 1.417920094923569518e+00 1.066061862654910541e+00 1.217654478057424994e+00 1.169328535437493599e+00 1.423092461660387054e+00 1.343721556040549658e-01 4.800047974774759862e-01
1.415009517298323194e-01 1.956738476505565372e-01 8.457805273856391359e-01 7.570770806041235979e-01 9.255743114287191542e-01 8.185720277081379725e-01 7.969744741578109748e-01 7.286138151156874854e-02 4.963839245558330227e-01
1.417232901390445277e-01 6.048307871729627916e-01 1.356230126199340802e+00 8.623484518984665392e-01 1.086110462619338302e+00 1.338653264219179517e+00 7.690971626554617968e-01 3.451390370688741521e-02 4.347405376162750135e-01
1.419742756271877016e-01 1.841213076788333347e-01 8.827222811598439689e-01 6.006193581852747876e-01 8.007488639871810365e-01 1.009574329709749252e+00 6.848621508568205618e-01 1.185215301344963862e-01 4.001590853885018118e-01
1.427086650961501557e-01 6.032348554234605587e-01 1.159308375465667451e+00 6.120274483220815576e-01 7.517966141999405938e-01 1.056388040797273442e+00 1.039786097537729992e+00 2.256050356052964265e-02 5.161146647468566329e-01
1.435832185236906033e-01 2.402941346328664185e-01 3.222065701314232311e-01 2.114437379494059077e-01 6.355791773153439683e-01 4.208973214852804734e-01 3.710909759880416936e-01 1.076638971660879712e-01 3.560006976177699234e-01
1.437196126525742412e-01 2.946273172221649528e-01 4.174349951495844868e-01 2.512399898211692961e-01 6.254890171464958515e-01 3.621538675984913302e-01 2.357750055035493508e-01 1.400516656820435524e-01 3.633806440940831051e-01
1.438171756116412292e-01 2.273666667328966828e-01 9.824714190269636660e-01 7.740459374052290897e-01 9.089457148957613697e-01 8.845270849844837358e-01 6.908839291798372084e-01 7.304849718264236347e-02 3.423353641679410253e-01
1.440488040711116469e-01 5.510433044183293827e-01 1.361392746930950137e+00 1.018439872340238361e+00 1.242414249434477425e+00 9.971935913637955951e-01 9.849010114549480166e-01 5.736666891963028425e-02 5.083896824907577772e-01
1.443146470115800051e-01 1.639447990974542413e-01 6.528501971404598869e-01 5.250425380088813432e-01 6.467858726306232597e-01 6.471495634143575870e-01 4.373156536244165449e-01 8.479480699181596304e-02 4.248768322068130487e-01
1.449091175561590117e-01 5.013494922594338155e-01 1.085127812800514180e+00 9.478511592768679161e-01 9.917119561966406538e-01 1.408836179897186680e+00 9.820090775104332037e-01 2.601105318997244328e-02 5.309633168561076477e-01
1.465669423258801063e-01 5.065588168517508594e-01 9.544095404021699647e-01 7.829261732675670826e-01 9.814194068432841034e-01 1.050625851951596301e+00 8.046399077486104945e-01 3.609691121349146992e-02 5.379802817269806470e-01
1.466224481925368917e-01 2.203646450830424874e-01 7.866966915636193214e-01 6.625310476357708644e-01 9.765068541768554544e-01 7.203392549750687879e-01 6.390580226785111950e-01 7.534046975210732799e-02 4.287461922754660093e-01
1.486965882948928785e-01 2.416445806314909128e-01 7.076090582336047596e-01 5.175436159388856483e-01 9.363234267863815852e-01 8.231414837923161087e-01 3.656197830805453242e-01 1.297200532771947135e-01 5.245877690892976064e-01
1.528888550787594891e-01 7.149652753405068006e-01 1.359887711990359627e+00 9.985343085375617544e-01 1.107193078170646050e+00 1.079651311665809299e+00 9.503309199522143036e-01 1.253776008999130387e-01 5.301923011346649783e-01
1.539734471004463034e-01 2.971321910962004820e-01 9.866999648525669464e-01 8.939541285359812184e-01 8.183495395184707810e-01 8.811223880987532064e-01 6.722096631161487146e-01 5.472062407054009009e-02 4.715354891329463505e-01
1.541991496191724709e-01 3.431774072839028911e-01 1.756250299805709236e+00 6.914417042025579052e-01 8.836848855721212148e-01 1.122053823549755691e+00 6.531676214952192305e-01 3.537736056284229019e-02 5.003122916035823708e-01
